Name,City,Country
Jacqueline,Qiryat Motzkin,Israel
Ernest,Castanheira do Campo,Portugal
Emily,Muzambinho,Brazil
Beverly,Ptení,Czech Republic
Albert,Mosetse,Botswana
Steven,Pereira Barreto,Brazil
Kelly,Vällingby,Sweden
Melissa,Bangkal,Indonesia
Doris,København,Denmark
Diane,Wugong,China
Angela,Cholargós,Greece
Anthony,Changgucheng,China
Andrew,Göteborg,Sweden
Daniel,El Regalo,Venezuela
Angela,Rancakole,Indonesia
Evelyn,Tasikona,Indonesia
Jerry,Opoczno,Poland
Joshua,Zhengdun,China
Matthew,Jiangfeng,China
Ernest,Prachamtakham,Thailand
Bruce,Shangcun,China
Teresa,Meicheng,China
Aaron,Chīchāwatni,Pakistan
Joe,Seixal,Portugal
Nicholas,Dianzi,China
Brenda,Čeladná,Czech Republic
William,Íos,Greece
Brandon,Orlando,United States
Willie,Novoanninskiy,Russia
John,Sombor,Serbia
Gerald,Sŏnbong,North Korea
Diana,Pulau Pinang,Malaysia
Joe,Bylym,Russia
Patrick,Plessisville,Canada
Billy,Chinoz,Uzbekistan
Lillian,Beidaihehaibin,China
Henry,Sosnovka,Russia
Kevin,Clifden,Ireland
Virginia,Wubao,China
Earl,Kharovsk,Russia
Carolyn,Bukal,Philippines
Henry,Winterthur,Switzerland
Harry,Jinshan,China
Diane,Portland,United States
Dorothy,Rizal,Philippines
Russell,Fujieda,Japan
Virginia,Synya,Russia
Katherine,Qingxi,China
Melissa,Ukrainka,Ukraine
Phyllis,Vila Chã,Portugal
Raymond,Hongdu,China
Betty,Dao,Philippines
Julia,Pau,France
Clarence,Curug,Indonesia
Anna,Dualing,Philippines
Howard,Sanquan,China
Ryan,Fort Lauderdale,United States
Julia,Hele,China
Shawn,Uarini,Brazil
Timothy,Coté-Lai,Argentina
Barbara,Xinxing,China
Alan,Wushishi,Nigeria
Lois,Lijiang,China
Frances,Bouca,Central African Republic
Debra,Erjiegou,China
Harold,Gaoqiu,China
Barbara,Lhakangtang,China
Lisa,Rychvald,Czech Republic
Shawn,Curahkalak Tengah,Indonesia
Katherine,Radoboj,Croatia
Mildred,Brooklyn,New Zealand
Shawn,Caridad,Philippines
Jane,Gibara,Cuba
George,Al Ḩazm,Yemen
Lawrence,Hexi,China
Keith,Abu Dhabi,United Arab Emirates
Anne,Suwaru,Indonesia
Jimmy,Tongjiang,China
Jeremy,Uppsala,Sweden
Ryan,La Broquerie,Canada
Joshua,Hengjian,China
Matthew,Hongjiaguan,China
Alice,Yangjiapo,China
Nicholas,Guayabal,Venezuela
Irene,Calzada Larga,Panama
Alice,Guaitarilla,Colombia
Johnny,Luqiao,China
Jennifer,Złocieniec,Poland
Arthur,Ourozinho,Portugal
Mary,Mandaon,Philippines
Judith,Mała Wieś,Poland
Chris,Sydney,Australia
Gregory,Srbica,Macedonia
Frances,Lyubertsy,Russia
Heather,Qal‘eh Ganj,Iran
Denise,Nizhnedevitsk,Russia
Christopher,Heshan,China
Jack,Miramar,Argentina
Judith,Al Fujayrah,United Arab Emirates
Martha,Bollstabruk,Sweden
Samuel,Lame,Nigeria
Gloria,Gibara,Cuba
Debra,Balayan,Philippines
Alan,Catbalogan,Philippines
Stephen,Keboireng,Indonesia
Martin,Fengshan,China
Carol,Qaţanah,Palestinian Territory
Frances,Elvas,Portugal
Lois,Longmiao,China
Keith,Xingfu,China
Emily,Qionghu,China
Katherine,Erdu,China
Joyce,Wangjiang,China
Raymond,Hukeng,China
Phyllis,Zilang,China
William,Tutong,Brunei
Kathryn,Ipala,Guatemala
Jean,Longos,Portugal
Annie,Heyou,China
Jason,Potrerillos,Honduras
Charles,Hongchuan,China
Lisa,Ostrov,Czech Republic
Christopher,Souto de Cima,Portugal
Joan,Tongyangdao,China
Gloria,Nueva Ocotepeque,Honduras
Stephen,Jorong,Indonesia
Philip,Semambung,Indonesia
Jack,Ḩammām Damt,Yemen
Donna,Wujing,China
Dorothy,Jihuluntu Sumu,China
Joyce,Hartswater,South Africa
Irene,Néa Magnisía,Greece
Kevin,Núi Đối,Vietnam
Jose,Tanniu,China
Deborah,Zuénoula,Ivory Coast
Paul,Shaba Zhen,China
Ronald,Lhoknga,Indonesia
Lawrence,Sukošan,Croatia
Barbara,Vereshchagino,Russia
Jacqueline,Espanola,Canada
Billy,Guadalupe,Mexico
Brandon,Noebana,Indonesia
Katherine,Düsseldorf,Germany
Susan,Mojokerto,Indonesia
Christopher,Maldonado,Uruguay
Mark,Rauna,Latvia
Gerald,Sovetskoye,Russia
Jose,Woha,Indonesia
Cheryl,Sovetskoye,Russia
Bruce,Saint-Péray,France
Stephen,Saquarema,Brazil
Diana,Nayak,Afghanistan
Louise,Gweedore,Ireland
Rebecca,Jelbuk,Indonesia
Ashley,Poconé,Brazil
Justin,Isehara,Japan
Kenneth,Rybnoye,Russia
Teresa,Zverevo,Russia
Paul,Jagodina,Serbia
Lori,Olofström,Sweden
Dennis,Banjar Kubu,Indonesia
Donna,Putrajaya,Malaysia
Jerry,Kolomyya,Ukraine
Brandon,Faisalābād,Pakistan
Johnny,Sukkozero,Russia
Michael,Trondheim,Norway
Adam,Chikeng,China
Heather,Ordynskoye,Russia
Kimberly,Zwolle,Netherlands
Gerald,Passo,Indonesia
Julia,Talca,Chile
Dennis,Baoyang,China
Ronald,El Hamma,Tunisia
Andrea,Šavnik,Montenegro
Diane,Gandra,Portugal
Randy,Łapanów,Poland
Aaron,Hacıqabul,Azerbaijan
Jean,Surazh,Russia
Philip,Poděbrady,Czech Republic
Shawn,Biharamulo,Tanzania
Melissa,Santa Rosa,Ecuador
Shawn,Naran Bulag,China
Randy,Chlói,Greece
Carol,Sabaneta,Dominican Republic
Arthur,Nartkala,Russia
Jean,Cigemlong,Indonesia
Antonio,Hovězí,Czech Republic
Bruce,As Sūq al Jadīd,Yemen
Charles,Cafe,Philippines
Catherine,Xushan,China
Kimberly,Penha,Brazil
Willie,Ampera,Indonesia
Richard,Linares,Chile
Chris,Sainte-Sophie,Canada
Sharon,Zhouyuan,China
Scott,Tianhe,China
Martha,Araxá,Brazil
Patrick,Dapaong,Togo
Gary,Liberta,Antigua and Barbuda
Andrew,Sandnes,Norway
Sandra,Al Fujayrah,United Arab Emirates
Elizabeth,Medzhibozh,Ukraine
Theresa,Chesapeake,United States
Julie,Shakhty,Russia
Laura,Särevere,Estonia
Adam,San Antonio,Philippines
Stephen,Budapest,Hungary
Sean,Qingkou,China
Lisa,Zhuyang,China
Emily,Rennes,France
Paula,Pingwang,China
Eric,Guisa,Cuba
Kimberly,Chaviña,Peru
Christopher,Laško,Slovenia
Susan,Neietsu,South Korea
Billy,Rikitea,French Polynesia
Victor,Getahovit,Armenia
Debra,Shibata,Japan
Nicole,Pontevedra,Philippines
Jacqueline,Lhoknga,Indonesia
Joshua,Winduraja,Indonesia
Raymond,Santiago,Chile
Edward,Pato-o,Philippines
Diana,Bayanhoshuu,Mongolia
Stephanie,Lakkíon,Greece
Joe,Mahates,Colombia
Bobby,Gununglarang,Indonesia
Carol,Uba,Nigeria
Jonathan,Lagoa do Itaenga,Brazil
Anna,Kungshamn,Sweden
Brandon,Montaigu,France
Carol,Braço do Norte,Brazil
Dennis,Qiping,China
Billy,Novopokrovskaya,Russia
Amanda,Nafada,Nigeria
Eugene,Wenquan,China
Andrea,Panalingaan,Philippines
Martin,Radā‘,Yemen
Mildred,Hidalgo,Mexico
Willie,Ranilug,Kosovo
Brian,Newport,United Kingdom
Matthew,Loum,Cameroon
Matthew,Gastello,Russia
William,Algés,Portugal
Laura,Międzybrodzie Bialskie,Poland
Brian,Perpignan,France
Carol,Chonogol,Mongolia
Margaret,Vancouver,United States
Jane,Binguang,Philippines
Susan,Huallanca,Peru
Donna,Yumbel,Chile
Kelly,Zákynthos,Greece
Debra,Non Sung,Thailand
Carol,Linghu,China
Bonnie,Akora,Pakistan
Karen,Edéa,Cameroon
William,Yilongyong,China
Melissa,Condoroma,Peru
Christopher,Shatian,China
Randy,Pinggirsari,Indonesia
Mark,Gaoliban,China
Mark,Paloh,Indonesia
Joan,Taiping,China
Jose,Buritama,Brazil
Chris,Viljoenskroon,South Africa
Antonio,Wangda,China
Mildred,Glamang,Philippines
Robert,Luoting,China
Victor,Bethanie,Namibia
Christine,Victoria,Malta
Janet,Al Maḩwīt,Yemen
Robert,Conceição do Araguaia,Brazil
Carolyn,Sandy Bay,Jamaica
Jeremy,Annan,China
Harold,Ban Houakhoua,Laos
Kenneth,Del Valle,Mexico
Ronald,Maroanging,Indonesia
Cynthia,Saga,China
Earl,Novoul’yanovsk,Russia
Linda,Mhamid,Morocco
Daniel,Aku,Nigeria
Gary,Xingang,China
Deborah,Barili,Philippines
Sharon,Nailong,Philippines
Chris,Girihieum,Indonesia
Marie,Culacling,Philippines
Jeffrey,Kiruna,Sweden
Shirley,Chishmy,Russia
Joshua,Jardin,Mexico
Chris,Liaonan,China
Lillian,Molteno,South Africa
Mildred,Xiangyang,China
Joshua,Bytkiv,Ukraine
Matthew,Guingamp,France
Melissa,Banī Walīd,Libya
Lillian,Daping,China
Willie,Jarinu,Brazil
Julia,Gizel’,Russia
Benjamin,Weitian,China
Maria,Now Zād,Afghanistan
Carolyn,Galutu,China
Jose,Jojoima,Sierra Leone
Timothy,Lakinsk,Russia
Marie,Colomi,Bolivia
Lisa,Palkovice,Czech Republic
Catherine,Bystra,Poland
Ronald,Lingyuan,China
Christina,Chirilagua,El Salvador
Jane,Foúrnoi,Greece
Richard,Reda,Poland
Catherine,Krajan,Indonesia
Carol,Triolet,Mauritius
Bobby,Currais Novos,Brazil
Howard,Sabirabad,Azerbaijan
Beverly,Watthana Nakhon,Thailand
Jesse,Põlva,Estonia
Carlos,Karney Shomron,Palestinian Territory
Earl,Karuri,Kenya
Ann,Győr,Hungary
Dennis,Ganyan,China
Ashley,Sanankerto,Indonesia
Willie,Hujiaying,China
Antonio,Wangmeng,China
Jeffrey,L'Épiphanie,Canada
Adam,Guantang,China
Stephen,Dalsjöfors,Sweden
Melissa,Katwijk,Netherlands
Jesse,Terrugem,Portugal
Stephanie,Bajo Pichanaqui,Peru
Rose,San Cristobal,Cuba
Michael,Blažovice,Czech Republic
Fred,El Rancho,Honduras
Ashley,São Julião do Tojal,Portugal
Martin,Gardinovci,Serbia
Terry,Guanmian,China
Shawn,Serrinha,Portugal
Linda,Ughelli,Nigeria
Sean,Kuafeu,Indonesia
Sandra,Jianshan,China
Gloria,Kanluran,Philippines
Nicholas,Poroçan,Albania
Mark,Senta,Serbia
William,Kubangkondang,Indonesia
Craig,Reisjärvi,Finland
Evelyn,Gzy,Poland
Bonnie,Kangshan,China
Bonnie,Obudu,Nigeria
Tammy,Kalahang,Indonesia
Billy,Tikhoretsk,Russia
Wayne,Kropachëvo,Russia
Janice,Xiejia,China
Margaret,Pak Phayun,Thailand
Bonnie,Yuwan,China
Shawn,Siemiatycze,Poland
Keith,Shuangyang,China
Ruth,San Vicente,Chile
Martin,Mirpur Khas,Pakistan
Rebecca,Kouzhen,China
Rebecca,Huating,China
Harold,"Laikit, Laikit II (Dimembe)",Indonesia
Jerry,Paris La Défense,France
Clarence,Daba,China
Emily,Madrid,Spain
Margaret,Nuasepu,Indonesia
Shawn,Xiacang,China
Nicole,Lgota Wielka,Poland
Barbara,Longtang,China
Jacqueline,Ternopil’,Ukraine
Bruce,Barguzin,Russia
Heather,Verbilki,Russia
Jimmy,Podgornaya,Russia
Samuel,Tatsuno,Japan
David,Shevchenkove,Ukraine
Phillip,Xihu,China
Bruce,Araçatuba,Brazil
Edward,Sanshandao,China
Cynthia,Caen,France
Carol,La Vega,Colombia
Clarence,Jiuxian,China
Gloria,Al Başrah,Iraq
Lillian,Cafarnaum,Brazil
Benjamin,Miyang,China
Paula,Xinhua,China
Jacqueline,Ipojuca,Brazil
Frances,Kedungtulup,Indonesia
Steven,Fraile Pintado,Argentina
Christina,Gordeyevka,Russia
Frances,Busalangga,Indonesia
Donald,Baima,China
Janet,Berlin,Germany
Howard,Rowokangkung,Indonesia
Jimmy,Huangshui,China
Gerald,Tongkiling,Indonesia
Brandon,Kolyvan’,Russia
Jennifer,Cruzeiro,Portugal
Paula,Corroios,Portugal
Samuel,Křížová,Czech Republic
Ernest,Palmerston North,New Zealand
Jacqueline,Buchach,Ukraine
Mary,Dongmafang,China
Antonio,Amieira do Tejo,Portugal
Amy,Kimje,South Korea
Jean,Tiko,Cameroon
Earl,Galitsy,Russia
Dennis,Benešov nad Černou,Czech Republic
Larry,Sacramento,United States
Lillian,Khlong Yai,Thailand
Peter,Yaroslavskaya,Russia
Jane,Ise,Japan
Richard,Soavinandriana,Madagascar
Donna,Belén de los Andaquíes,Colombia
Billy,Hronov,Czech Republic
Wanda,Rosso,Senegal
Michelle,Madura,Indonesia
Elizabeth,Hiratsuka,Japan
Louise,Krapyak Kidul,Indonesia
Catherine,Xankandi,Azerbaijan
Amanda,Ouranoupolis,Greece
Kevin,San Andres,Philippines
Dorothy,Xiaoweizhai,China
John,Karangsumber,Indonesia
Sharon,Yiánnouli,Greece
Angela,Xiongshan,China
Juan,Pyinmana,Myanmar
Theresa,Verkhov’ye,Russia
Fred,Panyarang,Indonesia
Teresa,Akademgorodok,Russia
Bruce,Boca Suno,Ecuador
Joshua,Armação,Brazil
Julia,Kävlinge,Sweden
Edward,Nancy,France
Gary,Marsa Alam,Egypt
Janice,Rio Branco do Sul,Brazil
Carl,Oslo,Norway
Ashley,Vinha,Portugal
Jessica,Pieniężno,Poland
Kathy,Tostado,Argentina
Donna,Taraz,Kazakhstan
Nicole,Air Bangis,Indonesia
Christopher,Xiayang,China
Betty,Pyra,Russia
Albert,Librazhd-Qendër,Albania
Carolyn,Cumaná,Venezuela
Philip,Ribeira Grande,Cape Verde
Philip,Puerto Berrío,Colombia
Cheryl,Qijiang,China
Carolyn,Petaling Jaya,Malaysia
Carl,Tong’an,China
David,Velká Bystřice,Czech Republic
Sharon,Huambo,Peru
Adam,Igrim,Russia
Amanda,Poligny,France
Amanda,Skuhrov nad Bělou,Czech Republic
Kevin,Ukhta,Russia
Bonnie,Stockholm,Sweden
Steven,Elat,Indonesia
Nicole,Sudimanik,Indonesia
Helen,Ấp Tân Ngãi,Vietnam
Margaret,Jugezhuang,China
Alan,Panan,Philippines
Cynthia,Utkivka,Ukraine
Gregory,Aviá Terai,Argentina
Carlos,Sīdī Sālim,Egypt
Todd,Miranda,Colombia
Victor,Ush-Tyube,Kazakhstan
Andrew,Changle,China
Brandon,Lutomiersk,Poland
Clarence,Sainte-Adèle,Canada
Cynthia,Jianghu,China
Ashley,Sidi Amar,Morocco
Brenda,Carepa,Colombia
Antonio,Shendang,China
Thomas,Sundsvall,Sweden
Denise,Kněžpole,Czech Republic
Frances,Järfälla,Sweden
Adam,Gangkoujie,China
Marilyn,Itapaci,Brazil
Eugene,Kampokpok,Philippines
Peter,Cakungsari,Indonesia
Mildred,Cabeço,Portugal
Harry,Chapimarca,Peru
Rachel,Lokatadho,Indonesia
Juan,Sundbyberg,Sweden
Martin,Campo Quijano,Argentina
Robert,Sagae,Japan
Paula,Wujiayao,China
Kenneth,Camangcamang,Philippines
Rachel,Condong,Indonesia
Evelyn,Sumberbakti,Indonesia
Ann,São Bartolomeu,Portugal
Michelle,Quthing,Lesotho
Douglas,Tuusula,Finland
Mary,Tianxin,China
Terry,Bolhos,Portugal
Shirley,Vallehermoso,Philippines
Margaret,Benito Juarez,Mexico
Brenda,Nikol’skoye,Russia
Brian,Bojongsari,Indonesia
Annie,Lysá nad Labem,Czech Republic
Janet,Milanówek,Poland
Jeffrey,Nowe Miasto,Poland
Diane,Longzhou,China
Ruby,Sofifi,Indonesia
Ruby,Cerna,Croatia
Betty,København,Denmark
David,Linköping,Sweden
Mary,Hamada,Japan
Sara,Kolomanu,Indonesia
Ruby,Princeville,Canada
Kathryn,Shirgjan,Albania
Clarence,Amancio,Cuba
Sarah,Borbon,Philippines
Roy,Mafinga,Tanzania
Jane,Ōmagari,Japan
Howard,Santa Luċija,Malta
Jesse,Al Mazzūnah,Tunisia
Raymond,Lawa-an,Philippines
Jimmy,Wadung,Indonesia
Pamela,Thika,Kenya
Gloria,Tours,France
Todd,Nanping,China
Albert,Ballyboden,Ireland
Bonnie,Al Mijlad,Sudan
Evelyn,Lingion,Philippines
Beverly,Gulrip’shi,Georgia
Johnny,Lampa,Indonesia
Janice,Jaraguá,Brazil
Lois,Houba,China
Robin,Segovia,Colombia
Wanda,Manutapen,Indonesia
Louis,Liboran,Philippines
Rose,Vatutino,Russia
Carolyn,La Mula,Venezuela
Jimmy,Casalinho,Portugal
Gregory,Arani,Bolivia
Lisa,Perechyn,Ukraine
Kathy,Baltimore,United States
Carlos,Melun,France
Stephanie,Gatbo,Philippines
Willie,Ikedachō,Japan
Larry,Yarumal,Colombia
Catherine,Miguel Aleman,Mexico
Johnny,Arraial do Cabo,Brazil
Edward,Kota Kinabalu,Malaysia
Daniel,Warmare,Indonesia
Wanda,Krajan Jamprong,Indonesia
Nicholas,Tyshkivka,Ukraine
Annie,Gulyantsi,Bulgaria
Rose,Beigucheng,China
Margaret,San Clemente,Peru
Diana,Boa Esperança,Brazil
George,Palmasola,Venezuela
Lois,Sunne,Sweden
Ruth,El Pino,Dominican Republic
Tammy,Gereykhanovskoye,Russia
Craig,Palangan,Indonesia
Marilyn,Luzhou,China
Wanda,Kolyshley,Russia
Donna,Tambakbaya,Indonesia
Margaret,Luzern,Switzerland
Robert,Cibunar,Indonesia
Todd,Curitibanos,Brazil
Billy,Shawnee Mission,United States
Larry,Uva,Russia
Clarence,Tikhoretsk,Russia
Keith,Kyparissía,Greece
Emily,Moppo,South Korea
Helen,Cassilândia,Brazil
Jason,Washington,United States
Ernest,Brest,France
Debra,Litian,China
Shawn,Qindu,China
Steven,Eci,Indonesia
Tammy,Phaya Thai,Thailand
Margaret,Touguinha,Portugal
Timothy,Mach,Pakistan
Karen,Novyye Gorki,Russia
Katherine,Kālīganj,Bangladesh
Louis,Fier,Albania
Todd,Kebonbencoy,Indonesia
Juan,Kipushi,Democratic Republic of the Congo
Harold,Traiguén,Chile
Edward,Fakel,Russia
Donna,Skärholmen,Sweden
Kathryn,Qadsīyā,Syria
Steven,El Triunfo,Honduras
Jacqueline,Akankpa,Nigeria
Doris,Furong,China
Samuel,Higashimurayama-shi,Japan
Billy,Guxi,China
Deborah,Sibulan,Philippines
Doris,Vilar do Pinheiro,Portugal
Lillian,Extrema,Brazil
Amy,Āshkhāneh,Iran
Jonathan,Saint Petersburg,Russia
Ann,Shiniujiang,China
Alan,Liuzu,China
Dorothy,Jinta,China
Antonio,Housuo,China
Marie,Atlanta,United States
Andrea,Tuusula,Finland
Dorothy,Banjar Banyualit,Indonesia
Carl,Erdenet,Mongolia
Amanda,Jiuquan,China
Jason,Suzëmka,Russia
Shawn,Dainan,China
Shirley,Bogo,Cameroon
Ryan,Jedlová,Czech Republic
Kevin,Nanlin,China
Denise,Zvishavane,Zimbabwe
Craig,Calachuchi,Philippines
Brian,Dadong,China
Joyce,Bucheon-si,South Korea
Betty,Sovetskiy,Russia
Jane,Ibicaraí,Brazil
Antonio,Salyan,Azerbaijan
Elizabeth,T’azagyugh,Armenia
Harold,Klonowa,Poland
Cynthia,Bondowoso,Indonesia
Carol,Xinxikou,China
Ruby,Madur,Indonesia
Ralph,Nong Bua Daeng,Thailand
George,Santa Fe,Philippines
Bobby,Dassa-Zoumé,Benin
Justin,Myingyan,Myanmar
Joan,Duang,Indonesia
Jonathan,Íasmos,Greece
Johnny,Bujumbura,Burundi
Sarah,Louveira,Brazil
Carlos,Aguasay,Venezuela
Bobby,Waitangi,New Zealand
Ryan,Humaitá,Brazil
Laura,Changxuanling,China
Lori,Stráž,Czech Republic
Carol,Krajan,Indonesia
John,Castrovirreyna,Peru
Charles,Cahors,France
Andrew,Xilinji,China
Stephanie,Nakhchivan,Azerbaijan
Randy,Sumberingin Kulon,Indonesia
Roger,Dicun,China
Sandra,Maymana,Afghanistan
Martin,Poste de Flacq,Mauritius
Ralph,Mulatupo,Panama
Mark,Rio Real,Brazil
Nicholas,Xilu,China
Marie,Kelmė,Lithuania
Scott,Zhireken,Russia
Alan,Padaan,Indonesia
Justin,Plewiska,Poland
Lawrence,Lubin,Poland
Matthew,Ruen,Bulgaria
Earl,Loay,Philippines
Frances,Graikochóri,Greece
Craig,Guanzhuang,China
Phillip,Balzers,Liechtenstein
Willie,Gunung Timur,Indonesia
Donald,Taiping,Malaysia
Roy,Magsaysay,Philippines
Arthur,Paris 12,France
Earl,Nyakhachava,Belarus
Clarence,Pamplona,Colombia
Melissa,Bobadela,Portugal
Paul,Tuoshi,China
Jennifer,Ponjen,Indonesia
Jonathan,Minh Long,Vietnam
Scott,Villa Ángela,Argentina
Carlos,Lacolle,Canada
Sandra,Várzea de Sintra,Portugal
George,Gujiang,China
Angela,Jablunkov,Czech Republic
Michelle,Tawangrejo,Indonesia
Joshua,Orikum,Albania
Fred,Thị Trấn Than Uyên,Vietnam
Rebecca,Sosnovyy Bor,Russia
Adam,Rungis,France
Karen,Al Ḩammāmāt,Tunisia
Keith,Lalapanzi,Zimbabwe
Diana,Castleknock,Ireland
Janice,Huangling,China
Lillian,Villa Mercedes,Argentina
Janice,Göteborg,Sweden
Gloria,Si Narong,Thailand
Ruby,Bancal,Philippines
Eric,Villa Ocampo,Argentina
Larry,Cimalati,Indonesia
Lori,Nantes,France
Willie,Carrières-sur-Seine,France
Amanda,Shuhe,China
Rachel,Guayabal,Colombia
Andrew,Pineleng,Indonesia
Sharon,Cruz Alta,Brazil
Patrick,Ajaccio,France
Roger,Bayanhoshuu,Mongolia
Howard,Antes,Portugal
Maria,Novyy Urengoy,Russia
Julie,Mancilang,Philippines
Nicholas,Dolní Bojanovice,Czech Republic
Jose,Sumberrejo,Indonesia
David,La Esperanza,Honduras
Marie,Bayramaly,Turkmenistan
Mary,Shchastya,Ukraine
Carolyn,Anjirmuara,Indonesia
Melissa,Gubukjero Timuk,Indonesia
Sarah,Tsaghveri,Georgia
Debra,Río Sereno,Panama
Raymond,Gislaved,Sweden
Matthew,Demuk,Indonesia
Anne,Drakino,Russia
Debra,Koson,Uzbekistan
Michael,Blumenau,Brazil
Jason,Hlusk,Belarus
Bobby,Sadao,Thailand
Jean,Sunagawa,Japan
Henry,Chechen-Aul,Russia
Gary,Calceta,Ecuador
Paul,Yakovlevo,Russia
Stephen,Pýli,Greece
John,Saint Louis,United States
Barbara,Bystřany,Czech Republic
Louise,Stuttgart,Germany
Jean,Kingston,New Zealand
Jonathan,Bochum,Germany
Rachel,Rudky,Ukraine
Rachel,Nanping,China
Elizabeth,Kamal,Indonesia
Justin,Linhares,Portugal
Jessica,Jiangbei,China
Paul,Shali,Russia
Christopher,Milówka,Poland
Jimmy,Haishan,China
Catherine,Santa Fé do Sul,Brazil
Raymond,Wete,Tanzania
Virginia,Laboulaye,Argentina
Frances,Tacoma,United States
Ernest,Grojec,Poland
Sarah,Isnos,Colombia
Lisa,Fengqiao,China
Keith,Al Wardānīn,Tunisia
Jimmy,Shijak,Albania
Diana,San Juan del Cesar,Colombia
Helen,Babatngon,Philippines
Doris,Georgiyevskaya,Russia
Kimberly,Zhangzhu,China
Janet,Bykivka,Ukraine
Stephen,Sobreiro,Portugal
Larry,Shipunovo,Russia
Harry,Tobatí,Paraguay
Roy,Oslo,Norway
Louise,Telaga,Indonesia
Heather,Binalbagan,Philippines
Irene,Concordia,Peru
Amy,Lurugan,Philippines
Kenneth,Ingersoll,Canada
Walter,Houston,United States
Cheryl,Kamionka,Poland
Scott,Shizong,China
Scott,Água Preta,Brazil
John,Al ‘Awjā,Palestinian Territory
Jack,Chadan,Russia
Rachel,Yanghou,China
Willie,Nabire,Indonesia
Brian,Tuscaloosa,United States
Lois,Juatuba,Brazil
Eugene,Fovissste,Mexico
Jane,Yiliu,China
Martha,Balīlā,Jordan
Bobby,Castle Bruce,Dominica
Andrea,Jijiga,Ethiopia
Kevin,Kramsk,Poland
Elizabeth,Mirandopólis,Brazil
Kenneth,Lumatil,Philippines
Stephen,Messina,Italy
Donald,Brunflo,Sweden
Douglas,Thatta,Pakistan
Kathleen,Nizhnyaya Omka,Russia
Norma,Septfontaines,Luxembourg
Robert,Bov,Bulgaria
Karen,Banjar Pangkungkarung Kangin,Indonesia
Robert,Lins,Brazil
Walter,Tanjung,Indonesia
Bobby,Limbi,Comoros
Janet,Ulan Us,China
Jeremy,Taquaritinga,Brazil
Sarah,Narganá,Panama
David,Praya,Indonesia
Lori,Shajing,China
Peter,Chinchero,Peru
Eric,Iwŏn-ŭp,North Korea
Kathryn,Kirovsk,Russia
Paul,Bang Yai,Thailand
Ruby,Kota Kinabalu,Malaysia
Brenda,Setono,Indonesia
Peter,Huanglong,China
Jacqueline,Zdounky,Czech Republic
Jonathan,Bilozerka,Ukraine
Denise,Anguil,Argentina
James,Stenungsund,Sweden
Philip,Gaoqiao,China
Frances,Uppsala,Sweden
Diana,Prochowice,Poland
Joyce,Simitli,Bulgaria
Justin,Bherāmāra,Bangladesh
Kimberly,Praszka,Poland
Denise,Ḩuraytān,Syria
Juan,Xinsheng,China
Andrea,Cawalo,Indonesia
Brian,Okaya,Japan
Peter,Jezerce,Croatia
Diana,Anzihao,China
Amanda,Sainte-Agathe-des-Monts,Canada
Peter,Chía,Colombia
Annie,Heshi,China
Elizabeth,Fontainebleau,France
Brandon,Sumberan,Indonesia
Lawrence,Phoenix,United States
Angela,Ngluwuk,Indonesia
Brian,Kertasari,Indonesia
William,Muleng,China
Jack,’Unābah,Afghanistan
Brenda,Bulembu,Swaziland
Joan,San Francisco,United States
Joan,Tungoo,Indonesia
Betty,Pawa,Philippines
Earl,Rudnyy,Kazakhstan
